,Unnamed: 0,Date,Player 1,Player 2,Player 3,Player 4
0,0.0,2022-03-04,0,0,0,0
1,0.0,2022-03-04,0,0,0,1
2,1.0,2022-03-04,5,5,0,5
3,2.0,2022-03-04,3,3,0,3
4,3.0,2022-03-04,5,5,0,5
5,4.0,2022-03-04,2,2,0,2
6,5.0,2022-03-04,2,2,2,0
7,6.0,2022-03-04,0,2,2,2
8,7.0,2022-03-04,0,0,4,4
9,8.0,2022-03-04,0,2,0,2
10,9.0,2022-03-04,0,0,2,2
11,10.0,2022-03-04,0,1,0,1
12,11.0,2022-03-04,0,0,1,1
13,12.0,2022-03-04,0,3,0,0
14,13.0,2022-03-04,4,4,4,0
15,14.0,2022-03-04,3,0,3,0
16,15.0,2022-03-04,0,2,2,0
17,16.0,2022-03-04,3,0,3,0
18,17.0,2022-03-04,0,2,0,2
19,18.0,2022-03-04,2,2,0,0
20,19.0,2022-03-04,0,0,2,2
21,20.0,2022-03-04,0,2,0,2
22,21.0,2022-03-04,0,2,0,2
23,22.0,2022-03-04,0,0,1,1
24,23.0,2022-03-04,2,2,0,0
25,24.0,2022-03-04,2,2,0,0
26,25.0,2022-03-04,0,0,0,1
27,26.0,2022-03-04,0,2,2,0
28,27.0,2022-03-04,2,0,0,2
29,28.0,2022-03-04,3,0,3,0
30,29.0,2022-03-04,0,1,1,0
31,30.0,2022-03-04,0,0,0,1
32,31.0,2022-03-04,1,0,1,0
33,32.0,2022-03-04,1,1,0,0
34,33.0,2022-03-04,0,3,0,3
35,34.0,2022-03-04,0,2,0,2
36,35.0,2022-03-04,0,0,1,1
37,36.0,2022-03-04,2,0,2,0
38,37.0,2022-03-04,2,2,0,0
39,38.0,2022-03-04,2,2,0,0
40,39.0,2022-03-04,2,2,0,0
41,40.0,2022-03-04,2,0,2,0
42,41.0,2022-03-04,3,0,0,3
43,42.0,2022-03-04,0,0,2,2
44,43.0,2022-03-04,2,0,2,0
45,44.0,2022-03-04,1,0,0,1
46,45.0,2022-03-04,0,0,2,2
47,46.0,2022-03-04,2,0,2,0
48,47.0,2022-03-04,1,1,0,0
49,48.0,2022-03-04,1,1,0,0
50,49.0,2022-03-04,0,0,1,1
51,50.0,2022-03-04,2,0,2,0
52,51.0,2022-03-04,1,0,1,0
53,52.0,2022-03-04,0,0,2,0
54,53.0,2022-03-04,4,4,0,4
55,54.0,2022-03-04,3,3,0,3
56,55.0,2022-03-04,3,0,0,3
57,56.0,2022-03-04,3,0,0,3
58,57.0,2022-03-04,0,1,0,1
59,58.0,2022-03-04,5,5,0,0
60,59.0,2022-03-04,1,0,0,0
61,60.0,2022-03-04,3,3,0,3
62,61.0,2022-03-04,2,2,0,0
63,62.0,2022-03-04,0,2,2,0
64,63.0,2022-03-04,0,0,3,3
65,64.0,2022-03-04,0,2,2,0
66,65.0,2022-03-04,2,2,0,2
67,66.0,2022-03-04,0,4,0,4
68,67.0,2022-03-04,1,1,0,0
69,68.0,2022-03-04,2,2,2,0
70,69.0,2022-03-04,4,4,0,0
71,70.0,2022-03-04,3,3,0,0
72,71.0,2022-03-04,0,1,0,1
73,72.0,2022-03-04,0,1,0,1
74,73.0,2022-03-04,0,0,3,3
75,74.0,2022-03-04,3,0,3,0
76,75.0,2022-03-04,2,2,0,0
77,76.0,2022-03-04,0,1,1,0
78,77.0,2022-03-04,0,2,2,0
79,78.0,2022-03-04,2,2,0,2
80,79.0,2022-03-04,0,3,3,0
81,80.0,2022-03-04,0,0,2,2
82,81.0,2022-03-04,0,0,3,3
83,82.0,2022-03-04,1,0,1,0
84,83.0,2022-03-04,2,0,0,0
85,84.0,2022-03-04,3,0,0,3
86,85.0,2022-03-04,0,2,2,0
