Date,Player 1,Player 2,Player 3,Player 4
2022-03-06,0,0,0,0
2022-03-06,-2,-2,-2,2
2022-03-06,2,-2,2,-2
2022-03-06,-2,2,2,-2
2022-03-06,2,-2,-2,2
2022-03-06,3,-3,-3,-3
2022-03-06,3,3,-3,3
2022-03-06,3,3,-3,-3
2022-03-06,4,-4,4,-4
2022-03-06,3,3,-3,3
2022-03-06,-2,2,2,-2
2022-03-06,3,-3,3,-3
2022-03-06,3,-3,3,-3
2022-03-06,2,-2,-2,2
2022-03-06,3,3,-3,-3
2022-03-06,-3,3,-3,3
2022-03-06,2,-2,-2,2
2022-03-06,-3,3,3,-3
2022-03-06,-1,-1,1,1
2022-03-06,-2,2,-2,2
2022-03-06,1,-1,1,-1
2022-03-06,1,-1,1,-1
2022-03-06,1,-1,-1,-1
2022-03-06,-4,4,4,4
2022-03-06,2,-2,-2,2
2022-03-06,3,-3,3,-3
2022-03-06,-1,1,-1,1
2022-03-06,3,-3,-3,3
2022-03-06,-2,-2,2,2
2022-03-06,-2,2,-2,2
2022-03-06,1,-1,-1,1
2022-03-06,-1,1,-1,1
2022-03-06,2,2,2,-2
2022-03-06,-3,3,3,-3
2022-03-06,-3,3,-3,-3
2022-03-06,-4,4,-4,4
2022-03-06,-3,3,3,-3
2022-03-06,-2,-2,2,2
2022-03-06,2,2,-2,-2
2022-03-06,1,-1,-1,1
2022-03-06,2,2,2,-2
2022-03-06,2,-2,2,-2
2022-03-06,-3,3,-3,3
2022-03-06,-2,2,2,-2
2022-03-06,-1,-1,1,1
2022-03-06,1,-1,1,-1
2022-03-06,-3,-3,3,3
2022-03-06,2,-2,2,2
2022-03-06,-4,-4,4,4
2022-03-06,3,-3,-3,3
2022-03-06,1,-1,-1,1
2022-03-06,1,-1,1,-1
2022-03-06,2,-2,-2,-2
2022-03-06,3,-3,3,-3
2022-03-06,3,-3,3,-3
2022-03-06,2,-2,-2,-2
2022-03-06,-2,-2,2,2
2022-03-06,4,4,-4,4
2022-03-06,3,3,3,-3
2022-03-06,-2,2,-2,2
2022-03-06,-3,-3,-3,3
2022-03-06,3,-3,3,-3
2022-03-06,-1,1,-1,-1
2022-03-06,2,-2,-2,2
2022-03-06,-1,1,1,-1
2022-03-06,4,-4,4,4
2022-03-06,4,4,-4,-4
2022-03-06,-3,-3,3,3
2022-03-06,-4,4,-4,4
2022-03-06,2,-2,2,-2
2022-03-06,-3,3,3,-3
2022-03-06,4,4,-4,4
2022-03-06,4,4,-4,-4
2022-03-06,-2,-2,2,2
2022-03-06,-2,2,2,-2
2022-03-06,-3,3,-3,3
2022-03-06,-2,2,-2,2
2022-03-06,-2,-2,2,2
2022-03-06,-2,-2,2,2
2022-03-06,-1,1,1,-1
2022-03-06,2,-2,2,-2
2022-03-06,3,-3,-3,3
2022-03-06,-2,-2,2,2
2022-03-06,-4,4,-4,4
2022-03-06,2,-2,-2,-2
2022-03-06,-3,3,-3,3
2022-03-06,2,-2,2,-2
2022-03-06,1,1,-1,-1
2022-03-06,1,-1,1,-1
2022-03-06,-2,2,-2,2
2022-03-06,1,1,-1,-1
2022-03-06,-2,-2,2,2
2022-03-06,-3,3,3,-3
2022-03-06,2,-2,2,-2
2022-03-06,3,-3,3,-3
2022-03-06,-2,2,2,-2
2022-03-06,2,-2,2,-2
2022-03-06,3,3,-3,-3
2022-03-06,1,1,-1,-1
2022-03-06,4,-4,-4,4
